Category,Type,Difficulty,Question,Answer,Incorred Answers
General Knowledge,multiple,medium,SW4gYSBzdGFuZGFyZCBzZXQgb2YgcGxheWluZyBjYXJkcywgd2hpY2ggaXMgdGhlIG9ubHkga2luZyB3aXRob3V0IGEgbW91c3RhY2hlPw==,SGVhcnRz,"['U3BhZGVz', 'RGlhbW9uZHM=', 'Q2x1YnM=']"
General Knowledge,multiple,hard,V2hhdCB0eXBlIG9mIGRvZyBpcyAnSGFuZHNvbWUgRGFuJywgdGhlIG1hc2NvdCBvZiBZYWxlIFVuaXZlcnNpdHk\/,QnVsbGRvZw==,"['WW9ya3NoaXJlIFRlcnJpZXI=', 'Qm94ZXI=', 'UHVn']"
General Knowledge,multiple,easy,V2hhdCB3YXMgdGhlIG5hbWUgb2YgdGhlIFdXRiBwcm9mZXNzaW9uYWwgd3Jlc3RsaW5nIHRhZyB0ZWFtIG1hZGUgdXAgb2YgdGhlIHdyZXN0bGVycyBBeCBhbmQgU21hc2g\/,RGVtb2xpdGlvbg==,"['VGhlIERyZWFtIFRlYW0=', 'VGhlIEJ1c2h3aGFja2Vycw==', 'VGhlIEJyaXRpc2ggQnVsbGRvZ3M=']"
General Knowledge,boolean,easy,VmlkZW8gc3RyZWFtaW5nIHdlYnNpdGUgWW91VHViZSB3YXMgcHVyY2hhc2VkIGluIGl0J3MgZW50aXJldHkgYnkgRmFjZWJvb2sgZm9yIFVTJDEuNjUgYmlsbGlvbiBpbiBzdG9jay4=,RmFsc2U=,['VHJ1ZQ==']
General Knowledge,multiple,medium,QSBkb2N0b3Igd2l0aCBhIFBoRCBpcyBhIGRvY3RvciBvZiB3aGF0Pw==,UGhpbG9zb3BoeQ==,"['UHN5Y2hvbG9neQ==', 'UGhyZW5vbG9neQ==', 'UGh5c2ljYWwgVGhlcmFweQ==']"
General Knowledge,multiple,easy,V2hhdCBpcyB0aGUgc2hhcGUgb2YgdGhlIHRveSBpbnZlbnRlZCBieSBIdW5nYXJpYW4gcHJvZmVzc29yIEVybsWRIFJ1YmlrPw==,Q3ViZQ==,"['U3BoZXJl', 'Q3lsaW5kZXI=', 'UHlyYW1pZA==']"
General Knowledge,multiple,easy,V2hhdCBpcyB0aGUgbmFtZSBvZiB0aGUgSmV3aXNoIE5ldyBZZWFyPw==,Um9zaCBIYXNoYW5haA==,"['RWx1bA==', 'TmV3IFllYXI=', 'U3VjY29zcw==']"
General Knowledge,boolean,easy,SXQgaXMgYXV0b21hdGljYWxseSBjb25zaWRlcmVkIGVudHJhcG1lbnQgaW4gdGhlIFVuaXRlZCBTdGF0ZXMgaWYgdGhlIHBvbGljZSBzZWxsIHlvdSBpbGxlZ2FsIHN1YnN0YW5jZXMgd2l0aG91dCByZXZlYWxpbmcgdGhlbXNlbHZlcy4=,RmFsc2U=,['VHJ1ZQ==']
General Knowledge,multiple,medium,V2hhdCBpcyB0aGUgbmFtZSBvZiB0aGUgdmVyeSBmaXJzdCB2aWRlbyB1cGxvYWRlZCB0byBZb3VUdWJlPw==,TWUgYXQgdGhlIHpvbw==,"['dHJpYnV0ZQ==', 'Y2FycmllIHJpZGVzIGEgdHJ1Y2s=', 'SGVyIG5ldyBwdXBweSBmcm9tIGdyZWF0IGdyYW5kcGEgdmVybi4=']"
General Knowledge,multiple,hard,V2hhdCB5ZWFyIHdhcyBRdWVlbiBFbGl6YWJldGggSUkgYm9ybj8=,MTkyNg==,"['MTkyMw==', 'MTkyOQ==', 'MTkzMA==']"
General Knowledge,multiple,medium,QWZ0ZXIgaG93IG1hbnkgeWVhcnMgd291bGQgeW91IGNlbGVicmF0ZSB5b3VyIGNyeXN0YWwgYW5uaXZlcnNhcnk\/,MTU=,"['MjA=', 'MTA=', 'MjU=']"
